character,hint
voltorb,The name of this electric type pokemon begins with a V
electrode,The name of this electric type pokemon begins with an E
exeggcute,The name of this grass/psychic type pokemon begins with an E
exeggutor,The name of this grass/psychic type pokemon begins with an E
cubone,The name of this ground type pokemon begins with a C
marowak,The name of this ground type pokemon begins with a M
hitmonlee,The name of this fighting type pokemon begins with a H
hitmonchan,The name of this fighting type pokemon begins with a H
lickitung,The name of this normal type pokemon begins with a L
koffing,The name of this posion type pokemon begins with a K
weezing,The name of this posion type pokemon begins with a W
rhyhorn,The name of this ground/rock type pokemon begins with a R
rhydon,The name of this ground/rock type pokemon begins with a R
chansey,The name of this normal type pokemon begins with a C
tangela,The name of this grass type pokemon begins with a T
kangaskhan,The name of this normal type pokemon begins with a K
horsea,The name of this water type pokemon begins with a H
seadra,The name of this water type pokemon begins with a S
goldeen,The name of this water type pokemon begins with a G
seaking,The name of this water type pokemon begins with a S
staryu,The name of this water type pokemon begins with a S
starmie,The name of this water/psychic type pokemon begins with a S
mr. mime,The name of this psychic/fairy type pokemon begins with a M
scyther,The name of this bug/flying type pokemon begins with a S
jynx,The name of this ice/psychic type pokemon begins with a J
electabuzz,The name of this electric type pokemon begins with an E
magmar,The name of this fire type pokemon begins with a M
pinsir,The name of this bug type pokemon begins with a P
tauros,The name of this normal type pokemon begins wtih a T
magikarp,The name of this water type pokemon begins with a M
gyarados,The name of this water/flying type pokemon begins with a G
lapras,The name of this water/ice type pokemon begins with a L
ditto,The name of this normal type pokemon begins with a D
eevee,The name of this normal type pokemon begins with an E
vaporeon,The name of this water type pokemon begins with a V
jolteon,The name of this electric type pokemon begins with a J
flareon,The name of this fire type pokemon begins with a F
porygon,The name of this normal type pokemon begins with a P
omanyte,The name of this rock/water type pokemon begins with an O
omastar,The name of this rock/water type pokemon begins with an O
kabuto,The name of this rock/water type pokemon begins with a K
kabutops,The name of this rock/water type pokemon begins with a K
aerodactyl,The name of this rock/flying type pokemon begins with an A
snorlax,The name of this normal type pokemon begins with a S
articuno,The name of this ice/flying type pokemon begins with an A
zapdos,The name of this electric/flying type pokemon begins with a Z
moltres,The name of this fire/flying type pokemon begins with a M
dratini,The name of this dragon type pokemon begins with a D
dragonair,The name of this dragon type pokemon begins with a D
dragonite,The name of this dragon/flying type pokemon begins with a D
mewtwo,The name of this psychic type pokemon begins with a M
mew,The name of this psychic type pokemon begins with a M
